2013,tt2871116,"2 automnes 3 hivers",Sébastien Betbeder,,220994,418,3.1,19,27,15,8,8,2,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1685486,"2 Night",Roi Werner,,204626,1,3.0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,
2010,tt1717550,"2 fois une femme",François Delisle,,186017,1,3.0,0,1,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt1272878,"2 Guns",Baltasar Kormákur,,189472,2561,3.5,8,51,136,72,12,5,82,3.4,0,1,8,0,1,0,247,4.1,3,7,8,4,0,0,203,3.7,0,1,5,3,0,1,37,3.6,0,1,5,0,0,0,
2010,tt0858411,"2001 Maniacs: Field of Screams",Tim Sullivan,,201711,29,2.0,0,0,0,1,2,5,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0,0,0,0,0,0,2,3.0,0,0,0,0,0,0,
2012,tt1232829,"21 Jump Street",Phil Lord,,49775,5284,3.5,59,175,235,96,40,34,122,3.4,3,5,5,1,1,2,792,4.5,16,16,12,4,0,1,416,3.9,2,5,8,2,1,0,50,3.5,0,0,4,2,0,0,
2011,tt1877543,"247°F",Levan Bakhia,,199681,16,3.1,0,0,5,1,0,0,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1931551,"The 25th Reich",Stephen Amis,,200982,0,0,0,0,0,0,0,0,2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt2124074,"28 Hotel Rooms",Matt Ross,,202826,1,3.0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,
2011,tt1942787,"3 Holiday Tails",Joe Menendez,,210489,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
