2011,tt0478304,The Tree of Life,Terrence Malick,22124,4918,3028,3347,2903,1992,1488,1048,786,806,1808,132244,8095,2.6,367,264,251,258,311,540,191,2.6,10,15,5,5,32,10,343,3.2,25,13,6,7,11,19,195,3.2,6,6,4,3,6,3,106,3.5,6,10,5,5,3,0,0,0,0,0,0
2010,tt0480255,The Losers,Sylvain White,15418,1130,1014,2486,4068,3336,1719,753,405,213,294,129368,708,3.1,9,35,39,30,19,8,14,2.9,0,0,0,0,0,0,105,4,4,3,1,1,0,1,63,3.7,1,4,2,1,0,0,39,3.5,1,4,1,4,1,0,0,0,0,0,0
2012,tt0485521,Sushi in Suhl,Carsten Fiebeler,8,0,0,0,1,4,3,0,0,0,0,190270,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,tt0491152,Something Borrowed,Luke Greenfield,8869,925,536,1023,1556,1714,1229,681,436,318,451,78573,239,3.5,0,2,8,3,3,1,38,3.1,0,1,1,1,0,0,124,3.7,6,6,2,1,0,1,49,3.2,0,0,1,0,0,2,46,2.9,0,1,1,2,1,1,0,0,0,0,0
2013,tt0762138,Syrup,Aram Rappaport,1055,60,44,89,168,237,185,104,65,46,57,193622,39,3.6,2,0,0,0,0,0,5,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,tt0763831,A Thousand Words,Brian Robbins,3733,269,114,285,593,838,642,359,213,155,265,131378,599,2.8,12,16,30,22,12,4,0,0,0,0,0,0,0,0,177,4,4,2,6,0,0,0,37,2.7,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,tt0768222,Night of the Templar,Paul Sampson,6250,638,2231,1797,1269,175,11,17,34,26,52,213501,38,1.8,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,tt0770778,King of the Avenue,Ryan Combs,148,12,4,4,15,14,26,18,16,12,27,193246,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,tt0770828,Man of Steel,Zack Snyder,69503,10752,10457,15819,14020,8505,4410,2046,1148,848,1498,123348,19845,3.7,613,985,661,592,263,204,592,3.7,24,26,16,12,9,7,2286,4.4,117,88,47,28,15,11,790,3.9,15,67,47,25,9,2,180,4,5,18,7,4,0,0,1272,639,474,228,172
2010,tt0775543,Night Catches Us,Tanya Hamilton,634,71,46,106,118,150,60,32,16,16,19,184355,7,3.3,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,tt0780645,War of the Dead,Marko Mäkilaakso,300,20,6,9,17,28,48,71,42,20,39,198901,59,1.9,0,1,3,6,4,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
