2010,tt1509641,"Vater Morgana",Till Endemann,3,0,0,0,0,1,0,1,0,0,1,181026,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4036520,0,0,0,0,0,
2011,tt1509767,"The Three Musketeers",Paul W.S. Anderson,10033,718,469,1058,1739,2099,1507,865,620,366,592,172168,3405,2.5,46,92,157,122,110,113,106,3.1,4,7,5,1,2,2,394,4,9,3,6,8,5,2,268,3.2,0,3,11,4,1,3,66,3.2,1,0,3,2,1,1,0,0,0,0,0,4035906,2878,12511,20305,3717,600,
2010,tt1510906,"Third Star",Hattie Dalton,509,142,93,111,79,34,20,10,8,5,7,192554,79,4.2,5,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4038184,988,1420,559,27,9,
2010,tt1511489,"The Sentimental Engine Slayer",Omar Rodriguez-Lopez,36,17,1,3,7,3,3,0,0,1,1,180191,2,3.1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4238926,0,0,0,0,0,
2010,tt1512893,"Far til fire - på japansk",Claus Bjerre,7,0,0,0,0,1,1,0,2,1,2,208912,1,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4049687,0,0,0,0,0,
2010,tt1513892,"Scusa ma ti voglio sposare",Federico Moccia,29,2,2,2,4,5,5,3,3,0,3,189227,4,3.1,0,0,0,0,0,0,25,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4051876,101,296,628,154,18,
2011,tt1515091,"Sherlock Holmes: A Game of Shadows",Guy Ritchie,39348,4865,5943,11628,9525,4161,1683,668,312,170,393,173048,14327,4,215,588,417,198,81,45,356,3.9,8,20,10,5,2,0,1226,4.5,28,19,8,4,0,0,608,4.1,8,15,11,2,0,0,289,4.4,4,17,7,0,0,0,220,172,93,27,31,4051753,19933,59799,41897,4698,762,
2011,tt1515956,"Totem",Jessica Krummacher,2,0,0,0,0,0,1,0,0,0,1,196339,3,2.9,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4054594,0,0,0,0,0,
2013,tt1517249,"Sunlight Jr.",Laurie Collyer,462,39,13,29,84,108,83,41,17,18,30,199067,8,2.8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058937,4,11,39,4,1,
2011,tt1519663,"Love's Kitchen",James Hacking,440,33,18,40,64,99,89,38,29,17,13,194855,35,2.4,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4067202,8,50,348,156,28,
