tt1754123,4,3,3,7,6,2,3,0,1,3,
tt1663207,58,32,97,299,378,264,80,34,31,57,
tt0454876,6930,9740,12773,7297,2910,1085,553,313,250,558,
tt2708254,68,31,82,146,78,29,7,7,3,25,
tt1843287,81,103,201,196,96,56,35,17,14,23,
tt2707804,5,1,5,2,4,2,4,0,1,1,
tt1219289,3579,5413,12726,13782,6237,2207,825,385,193,370,
tt0443272,6313,8130,10404,7284,3052,1360,574,318,249,568,
tt1928329,4,2,4,12,13,7,4,4,4,5,
tt1374988,3,1,2,1,3,4,2,0,0,0,
tt1576423,1,1,1,1,0,1,0,0,0,3,
tt1623745,103,44,128,192,221,124,59,33,20,26,
tt1614456,14,13,18,66,38,68,37,23,24,29,
tt0970866,445,230,739,1687,2862,2741,1439,814,552,782,
tt1737259,3,0,0,2,2,1,0,0,2,1,
tt2215267,0,0,3,1,4,5,4,0,1,2,
tt1608285,40,21,22,24,28,11,9,5,4,5,
tt2185702,0,0,0,1,2,3,0,2,1,0,
tt1667108,1,0,2,1,6,3,1,0,3,1,
tt1630560,0,1,0,0,1,1,1,0,0,1,
tt1650555,11,12,18,33,23,8,10,2,6,8,
tt2692904,440,797,1859,1861,978,464,209,146,95,205,
tt1597033,14,5,4,10,22,36,31,32,16,104,
tt1398028,23,3,4,5,17,14,13,6,7,7,
tt1592525,594,483,1493,3066,3334,1877,926,467,233,258,
tt1606789,5,7,14,35,15,7,3,0,2,12,
tt1483010,17,5,6,5,6,6,4,3,4,10,
tt1710417,58,41,107,235,285,230,145,75,42,95,
tt1817209,0,1,3,3,4,0,2,1,0,1,
tt1213648,195,141,437,850,903,489,239,93,70,88,
tt1731758,0,0,0,4,2,4,2,1,2,0,
tt1276104,5865,10341,17774,13277,5573,1993,947,464,258,495,
tt1568337,65,33,88,152,185,88,48,13,15,30,
tt2224317,46,51,73,53,35,29,8,7,6,16,
tt1186357,3,2,3,4,9,4,3,0,1,1,
tt1996310,103,154,315,393,181,59,30,15,10,27,
tt1863318,0,0,0,0,0,0,0,0,0,1,
tt2007421,0,0,2,2,1,1,1,0,1,1,
tt1474268,2,3,0,1,1,1,1,1,0,2,
tt2624316,3,0,4,7,9,2,5,2,4,7,
tt2100575,3,0,1,5,1,8,6,4,4,0,
tt1975205,6,1,2,2,2,3,5,10,24,23,
tt1734580,11,1,3,3,3,3,7,0,3,10,
tt1451395,5,5,14,22,15,9,4,1,2,2,
tt1093902,32,19,17,15,10,12,0,2,1,5,
tt2050561,0,1,1,2,4,2,1,1,1,1,
tt1636539,17,8,33,51,55,33,18,5,7,9,
tt2027154,7,2,3,8,10,13,20,6,7,16,
tt1376713,1,0,7,10,7,6,1,1,1,0,
tt1125929,68,24,60,130,186,132,80,43,28,35,
tt1992147,12,8,21,19,25,27,22,15,11,16,
tt2960270,1,0,2,1,2,0,1,1,1,0,
tt1976989,74,23,64,115,185,120,70,39,27,50,
tt1519663,33,18,40,64,99,89,38,29,17,13,
tt1436559,103,34,76,125,171,255,177,112,61,99,
tt1541874,152,75,147,179,212,159,103,73,54,99,
tt1426329,215,150,521,1083,1295,738,291,108,75,131,
tt2904628,0,0,2,2,0,4,0,0,0,0,
tt1895466,4,1,6,5,6,7,3,2,2,4,
tt1436560,14,11,14,19,15,9,4,2,2,4,
tt1705915,0,0,0,0,1,0,0,0,0,1,
tt1717158,1,1,1,1,4,4,3,3,2,4,
tt1784515,0,0,0,3,0,2,2,0,0,0,
tt1885299,43,19,60,81,104,51,24,8,11,18,
tt1473397,66,31,92,161,228,170,94,50,27,34,
tt2649174,0,0,0,0,0,0,0,0,1,1,
tt1823159,3,0,1,0,1,2,1,0,3,0,
tt1669798,0,0,0,0,0,0,3,0,0,1,
tt2664012,0,0,0,1,0,0,1,0,0,0,
tt2214852,1,0,0,1,0,2,0,0,2,0,
tt1376427,0,0,0,0,0,1,0,0,1,1,
tt2246837,2,0,2,3,5,7,7,3,5,9,
tt1433910,0,3,2,2,5,2,2,1,1,0,
tt1470023,1046,569,1147,1581,1731,1375,968,677,466,782,
tt2002718,454,254,612,1158,1520,1077,674,315,232,368,
tt1586752,683,514,1137,1703,1045,475,190,87,79,173,
tt1277953,1119,862,1957,3110,1833,827,379,207,130,289,
tt2242032,0,0,0,0,0,3,1,0,0,1,
tt1371155,104,133,325,404,167,51,17,8,12,14,
tt1787759,445,117,215,251,245,192,139,127,127,810,
tt2215285,469,104,197,283,277,331,234,173,130,575,
tt1687889,22,12,12,32,57,79,78,53,44,68,
tt1760980,7,5,21,24,20,9,8,4,3,1,
tt1849810,8,3,0,6,8,14,12,19,10,11,
tt1929308,62,41,98,161,175,194,145,116,94,166,
tt1915581,1537,807,2216,3681,3523,2211,1172,673,493,1011,
tt1527813,22,4,9,12,8,7,2,1,3,4,
tt2736928,2,0,0,0,1,0,1,1,0,3,
tt2059244,1,1,1,1,3,1,1,0,2,1,
tt2180465,0,0,0,2,4,5,2,0,1,1,
tt1588880,7,2,4,4,2,2,0,2,0,1,
tt1828959,27,10,16,42,46,33,19,13,10,34,
tt1779826,2,0,3,3,1,3,2,0,0,0,
tt1592265,12,1,3,6,5,8,7,4,3,3,
tt2582170,0,0,1,0,2,0,0,0,0,1,
tt0770828,10752,10457,15819,14020,8505,4410,2046,1148,848,1498,
tt2016940,188,137,419,720,725,409,168,72,59,75,
tt2060525,69,26,45,52,55,32,21,13,14,38,
tt2991224,95,76,87,47,14,7,5,2,1,15,
tt2304771,210,187,415,591,338,118,37,32,15,94,
tt1703238,1,0,0,1,1,0,0,0,0,1,
tt2103217,290,292,682,869,856,460,269,148,103,125,
tt2036408,1,0,2,3,5,2,2,1,1,0,
tt2193151,6,3,0,3,1,2,8,9,11,14,
tt1887807,0,0,0,1,1,0,2,1,1,5,
tt2076268,1,0,0,0,0,0,1,1,0,1,
tt1083462,39,13,24,57,72,70,33,30,18,42,
tt2168854,13,4,10,15,19,12,5,7,6,9,
tt0466893,342,264,434,497,447,285,182,100,97,158,
tt2318601,11,3,5,8,10,5,1,0,2,5,
tt1721478,0,0,3,3,5,4,1,1,1,1,
tt1961192,1,6,2,10,7,3,4,0,1,2,
tt1756616,0,0,0,1,1,0,0,1,1,2,
tt2614860,6,3,12,7,5,3,3,0,3,5,
tt1872102,8,3,8,16,10,3,1,1,1,2,
tt1392197,174,52,82,118,205,310,285,242,190,628,
tt1684558,28,15,11,28,12,15,6,8,7,13,
tt1305591,220,89,266,455,582,547,321,211,171,379,
tt1638277,3,2,2,8,9,5,4,2,5,0,
tt1441326,604,1053,2247,2282,1241,588,258,191,126,189,
tt1906422,1,0,1,2,0,0,1,0,0,1,
tt2793930,3,5,3,10,4,3,0,4,1,5,
tt1555218,2,0,2,9,6,2,4,0,0,0,
tt1680099,1,2,0,4,1,1,2,1,3,5,
tt1941600,0,0,3,2,0,6,2,0,2,5,
tt1447499,10,7,15,23,7,12,3,3,3,8,
tt2529144,0,0,0,0,0,0,0,0,1,0,
tt1683046,0,0,1,1,2,0,1,1,2,1,
tt1274297,1,0,0,1,3,4,1,1,1,1,
tt2106537,24,24,20,43,48,32,26,12,12,29,
tt2650718,3,1,5,5,6,0,2,1,5,6,
tt1627924,13,5,21,16,21,30,18,25,13,31,
tt2359668,1,0,2,0,0,4,0,1,3,2,
tt1361828,14,9,8,9,4,9,9,4,5,28,
tt2390281,0,0,0,1,0,4,1,1,0,1,
tt2119474,63,13,41,66,115,148,88,42,46,64,
tt2081311,1,5,4,3,5,1,7,2,2,5,
tt2600730,2,0,0,0,1,1,2,0,2,1,
tt2295564,20,3,11,16,43,59,32,17,14,22,
tt2390630,8,1,2,0,2,0,2,2,1,2,
tt1235841,59,100,200,152,78,38,12,5,3,8,
tt1291549,57,17,59,83,120,78,27,21,8,15,
tt1810697,84,33,117,253,375,337,215,122,74,97,
tt1001526,2129,2590,6088,7119,3203,1112,403,181,114,250,
tt1087461,119,78,133,190,226,188,135,104,109,244,
tt1337055,6,1,0,0,4,2,16,8,12,22,
