2013,tt2571966,8,86,A Little Christmas Business
2013,tt2709070,7.2,60,A Long Story
2013,tt2230956,6,69,A Long Way from Home
2013,tt2650954,6.1,216,Dolgaya schastlivaya zhizn
2013,tt2935198,6.5,11,A Love That Hurts
2013,tt3138016,4.5,15,"A Masque of Madness (Notes on Film 06-B, Monologue 02)"
2013,tt2276069,5.9,123,A Master Builder
2013,tt2494590,6.7,55,A Measure of the Sin
2013,tt1656195,7.3,23,A Miracle in Spanish Harlem
2013,tt2705666,6.1,55,A Moment in Time
2013,tt1692478,5.5,218,A New York Heartbeat
2013,tt2308260,5.8,2131,A Night in Old Mexico
2013,tt2355346,7.4,133,A Oeste do Fim do Mundo
2013,tt2865802,5.6,96,A Pact
2013,tt3445292,6.1,15,A Pelada
2013,tt2275471,5.2,1154,A Perfect Man
2013,tt2351098,6.9,33,A Picture of You
2013,tt2960994,6.8,48,Makom be-gan eden
2013,tt2403991,6.3,291,Une place sur la Terre
2013,tt2107644,6.2,27,A Plague So Pleasant
2013,tt2720660,7.2,19,A Political Murder
2013,tt2191082,5.7,817,A Promise
2013,tt1817276,3.9,1285,A Resurrection
2013,tt2700466,4.5,12,A Shameless Revenge
2013,tt1879078,2.9,100,A Sierra Nevada Gunfight
2013,tt1540741,5.8,6745,A Single Shot
2013,tt2104841,8.1,25,A Song Still Inside
2013,tt3161748,7.8,16,A Song for Sarah
2013,tt2432226,5.7,12,A Split Personality
2013,tt2151915,7.7,606,Yokomichi Yonosuke
2013,tt2014168,6.9,66,A Strange Brand of Happy
2013,tt2901690,5.7,35,A Strange Course of Events
2013,tt2316929,6.8,229,Obrana i zastita
2013,tt2101307,4.6,333,A Stranger in Paradise
2013,tt1966637,6.5,308,Via Castellana Bandiera
2013,tt3169148,7.9,23,A Study in Gravity
2013,tt2653264,6.9,136,Bushi no kondate
2013,tt2372842,6.4,11,A Tale of a Wolf
2013,tt2511190,3.1,405,A Talking Cat!?!
2013,tt2757592,3.4,41,A Talking Pony!?!
2013,tt2201548,4.9,1879,A Teacher
2013,tt3118566,6.9,46,Mille soleils
2013,tt2353767,7.1,3296,"1,000 Times Good Night"
2013,tt3102636,6.9,74,Shu jia zuo ye
2013,tt2852400,7.2,5109,Tian zhu ding
2013,tt1524083,5.2,176,A True Story
2013,tt3012526,6.1,21,A Very Larry Christmas
2013,tt2436344,5.6,109,O vara foarte instabila
2013,tt1999246,5.9,55,A Vida Invisível
2013,tt2320073,4.2,998,A Viking Saga: The Darkest Day
2013,tt1464346,7,12,A Voice in the Dark
2013,tt2910520,6,209,Fen shou he yue
2013,tt3068650,6.3,88,A ma de meng zhong qing ren
2013,tt1212055,6.8,11,A+
2013,tt1311060,5.7,8537,A.C.O.D.
2013,tt2321163,6.4,3832,ABCD (Any Body Can Dance)
2013,tt2956300,6.6,714,ABCD: American-Born Confused Desi
2013,tt2215926,6.2,35,AKP: Job 27
2013,tt2419576,7.3,308,Aadhalal Kadhal Seiveer
2013,tt1671446,5.3,384,Aadhi Bhagavan
2013,tt2836836,5.5,16,Aadu Magaadra Bujji
2013,tt3345830,7,16,Aajcha Divas Majha
2013,tt3355434,4.6,14,Aaru Sundarimaarude Katha
2013,tt2203308,7.1,16469,Aashiqui 2
2013,tt3013270,5.8,20,Aashiqui Not Allowed
2013,tt2389974,3.7,399,Aatma
2013,tt2800344,5.4,15,Ab
2013,tt2413338,4.5,377,Abducted
2013,tt2657312,5.8,36,Abudakuti
2013,tt2511022,4.5,71,"Abner, the Invisible Dog"
2013,tt2729142,6.1,100,Aborto
2013,tt2194499,7.8,153584,About Time
2013,tt2192580,6.6,297,Tumman veden päällä
2013,tt2736254,4,549,Absence
2013,tt2179226,4.2,969,Absolute Deception
