Adult World;2013;tt1067765;203394;8937;6.1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Afflicted;2013;tt2309961;224493;11825;6.3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;
Afternoon Delight;2013;tt2312890;216294;5907;5.8;0;2;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Afterparty;2013;tt2144007;202955;392;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
Age of Dinosaurs;2013;tt2518926;221596;1341;2.9;0;0;1;2;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
W imie...;2013;tt2650642;218035;1301;6.5;0;7;8;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
Alan Partridge: Alpha Papa;2013;tt0469021;216932;20376;7.0;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Space Pirate Captain Harlock;2013;tt2668134;192934;6081;6.5;95;181;154;121;55;35;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
Stranded;2013;tt2268573;218528;2914;3.4;0;1;1;4;5;15;0;0;0;0;0;0;0;0;1;0;9;4;0;0;0;0;1;4;0;0;0;0;0;0;
Enough Said;2013;tt2390361;223008;42046;7.1;2;12;34;6;2;0;0;0;6;0;1;0;3;6;6;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;
All Cheerleaders Die;2013;tt2527186;223741;4172;5.2;0;2;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;
All Is Bright;2013;tt1462901;223547;3830;5.6;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
All Is Lost;2013;tt2017038;200956;49554;6.9;17;76;78;42;22;18;0;0;4;0;1;0;3;2;10;2;2;1;1;5;5;0;2;0;0;3;3;2;0;0;
Almost Human;2013;tt2325517;223024;1773;4.7;0;0;1;2;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;
Alpha;2013;tt2121250;200647;63;5.9;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Am Hang;2013;tt2922690;206013;64;5.6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ain't Them Bodies Saints;2013;tt2388637;206994;13105;6.4;3;20;34;32;12;3;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;1;1;0;0;
Cheatin';2013;tt2361846;226095;217;7.3;0;8;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Amazonia;2013;tt1240899;213875;475;6.4;19;28;38;17;7;6;0;0;0;0;0;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
