Han Gong-ju;2013;tt3265462;225427;431;7.6;57;3.6;1;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
A Madea Christmas;2013;tt2609758;216060;3580;4.4;3;3.0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
A Perfect Man;2013;tt2275471;224821;1154;5.2;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Yokomichi Yonosuke;2013;tt2151915;225747;606;7.7;2;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
A Teacher;2013;tt2201548;208833;1879;4.9;14;2.6;0;0;0;0;0;1;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Look of Love;2013;tt1951216;203726;4475;6.0;241;2.6;3;9;20;21;6;1;6;3.2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;16;3.2;0;2;2;0;0;0;5;3.2;0;0;0;0;0;0;
A.C.O.D.;2013;tt1311060;196863;8537;5.7;100;2.3;0;1;3;7;0;1;5;3.1;1;0;1;0;0;0;17;3.1;0;1;0;1;0;0;5;2.9;0;0;0;0;0;0;4;3.0;0;0;0;0;0;0;
Aadhi Bhagavan;2013;tt1671446;219039;384;5.3;5;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Abner, the Invisible Dog;2013;tt2511022;224663;71;4.5;5;2.7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Abus de faiblesse;2013;tt2418372;201599;399;5.8;173;2.3;4;10;12;13;7;3;2;3.0;0;0;0;0;0;0;6;3.2;0;1;0;0;0;0;2;3.0;0;0;0;0;0;0;2;3.0;0;0;0;0;0;0;
Truth or Dare;2013;tt2125681;209307;10;5.4;303;3.1;4;18;35;21;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Adieu Paris;2013;tt2094990;218405;96;6.1;16;3.1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Admission;2013;tt1814621;189444;24997;5.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3.1;0;1;0;0;0;0;6;3.0;0;0;0;1;0;0;
Adult World;2013;tt1067765;203394;8937;6.1;23;3.2;0;0;2;0;0;0;8;3.3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;3.2;0;0;0;0;0;0;6;3.2;0;0;0;0;0;0;
Afflicted;2013;tt2309961;224493;11825;6.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2.8;1;0;0;0;1;0;12;3.3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Afternoon Delight;2013;tt2312890;216294;5907;5.8;84;2.7;0;2;3;6;0;0;3;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Afterparty;2013;tt2144007;202955;392;3.8;3;2.9;0;0;0;0;0;0;12;2.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2.8;0;0;0;1;0;0;3;2.9;0;0;0;0;1;0;
Age of Dinosaurs;2013;tt2518926;221596;1341;2.9;58;1.7;0;0;1;2;8;3;3;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
W imie...;2013;tt2650642;218035;1301;6.5;98;3.1;0;7;8;1;2;2;4;3.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;3.1;1;0;0;0;0;0;3;3.0;0;0;0;0;0;0;
Alan Partridge: Alpha Papa;2013;tt0469021;216932;20376;7.0;22;3.2;0;0;1;2;1;0;5;3.2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;3.2;0;0;0;0;0;0;5;3.2;0;0;0;0;0;0;
Space Pirate Captain Harlock;2013;tt2668134;192934;6081;6.5;3646;3.5;95;181;154;121;55;35;5;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3.2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Alex Pandian;2013;tt2614032;217287;507;2.0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Stranded;2013;tt2268573;218528;2914;3.4;89;1.5;0;1;1;4;5;15;0;0;0;0;0;0;0;0;48;2.2;0;0;1;0;9;4;11;2.4;0;0;0;0;1;4;0;0;0;0;0;0;0;0;
Enough Said;2013;tt2390361;223008;42046;7.1;305;3.3;2;12;34;6;2;0;33;3.2;0;0;6;0;1;0;70;3.7;3;6;6;0;0;0;28;3.1;0;0;3;0;0;0;12;3.1;0;2;0;0;0;0;
All Cheerleaders Die;2013;tt2527186;223741;4172;5.2;46;3.0;0;2;4;4;1;0;6;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2.9;0;3;2;0;0;0;0;0;0;0;0;0;0;0;
All Is Bright;2013;tt1462901;223547;3830;5.6;6;2.8;0;0;0;0;1;0;3;2.9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;2.8;0;0;1;0;0;0;3;2.9;0;0;0;0;0;0;
All Is Lost;2013;tt2017038;200956;49554;6.9;1308;3.3;17;76;78;42;22;18;34;2.8;0;0;4;0;1;0;102;3.3;3;2;10;2;2;1;89;3.4;1;5;5;0;2;0;26;3.3;0;3;3;2;0;0;
All the Wrong Reasons;2013;tt1568799;222938;340;6.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Vathikuchi;2013;tt2771926;223575;173;6.2;3;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Almost Human;2013;tt2325517;223024;1773;4.7;28;2.2;0;0;1;2;2;2;8;2.7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;2.8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
Alone Yet Not Alone;2013;tt1986769;226473;365;3.8;2;3.1;0;0;0;0;0;0;5;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Alpha;2013;tt2121250;200647;63;5.9;1;3.0;0;0;0;0;0;0;7;2.8;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Am Hang;2013;tt2922690;206013;64;5.6;1;2.9;0;0;0;0;0;1;1;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.9;0;0;0;0;0;0;1;2.9;0;0;0;0;0;0;
Ain't Them Bodies Saints;2013;tt2388637;206994;13105;6.4;615;3.0;3;20;34;32;12;3;11;3.3;0;0;1;0;0;0;12;3.3;0;0;0;0;0;0;11;3.3;0;4;1;0;0;0;12;3.4;0;0;1;1;0;0;
Cheatin';2013;tt2361846;226095;217;7.3;61;3.4;0;8;3;0;2;0;2;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3.1;0;0;0;0;0;0;2;3.1;0;0;0;0;0;0;
