2010,tt1182350,"You Will Meet a Tall Dark Stranger",Woody Allen,143664,3130,2.6,19,100,199,127,70,30,71,2.7,0,5,8,2,5,0,87,2.9,1,1,3,2,2,1,57,3.2,0,5,1,0,0,1,23,2.9,0,2,2,2,4,0,22,17,30,23,15,
2010,tt1782568,"Yolki",Timur Bekmambetov,198117,2,3.1,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1919207,"Yoko",Franziska Buch,184160,28,3.2,1,2,1,1,0,0,3,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt2495118,"Yip Man: Jung gik yat jin",Herman Yau,222724,92,2.8,0,0,4,4,4,1,0,0,0,0,0,0,0,0,7,3.1,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt2113822,"Yi jiu si er",Xiaogang Feng,200187,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1842435,"Yema",Djamila Sahraoui,210628,52,3.5,2,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1714176,"Yellow Rock",Nick Vallelonga,217900,27,2.2,0,0,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt2178470,"Yeh Jawaani Hai Deewani",Ayan Mukherjee,221160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1808691,"Ya Sonra?",Özcan Deniz,189657,12,2.8,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.2,0,0,0,0,0,0,245,2.7,13,12,10,9,8,9,0,0,0,0,0,
2012,tt2142055,"Xingu",Cao Hamburger,201699,7,3.2,0,1,0,0,0,0,5,3.1,0,0,0,0,0,0,108,3.9,2,3,3,2,1,0,5,3.1,0,0,0,0,0,0,5,3.1,0,0,0,0,0,0,0,0,0,0,0,
2012,tt2106741,"Xiao shi de zi dan",Chi-Leung Law,224825,33,3.3,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt2013298,"Xiao shi da kan",Hung-i Chen,200702,1,3.1,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1270798,"X-Men: First Class",Matthew Vaughn,140894,19136,4.1,488,971,496,156,65,38,392,4,9,20,18,4,3,1,1734,4.4,36,34,14,4,1,1,638,4,2,19,7,4,3,0,378,4.3,19,28,8,14,2,0,405,200,97,43,60,
2012,tt2190232,"Wu yan",Simon Chung,212060,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1901040,"Wrong",Quentin Dupieux,197655,1092,3.4,19,55,54,26,20,14,4,3,0,0,0,0,0,0,8,2.9,0,0,0,0,1,1,11,3.2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,
