2012,tt2240764,"Bad Boy Street",Todd Verow,,214762,2,3.0,0,0,0,0,0,0,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt2391746,"Rue Mandar",Idit Cebula,,195571,461,2.0,13,21,19,29,27,25,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1833781,"Ruggine",Daniele Gaglianone,,196308,8,3.1,1,1,0,0,1,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1790819,"Ruhm",Isabel Kleefeld,,198285,2,3.0,0,0,0,0,0,0,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt2013243,"La Run",Demian Fuica,,191201,6,3.1,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1568337,"Loosies",Michael Corrente,,198421,126,3.1,0,3,7,8,1,0,3,3.1,0,0,0,0,0,0,9,3.3,0,0,0,0,0,0,5,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt1911662,"Vehicle 19",Mukunda Michael Dewil,,193250,262,2.0,1,6,11,10,19,10,8,2.8,0,0,0,0,0,0,57,3.5,0,0,2,1,3,0,30,2.9,1,0,1,1,1,0,20,3.4,0,0,0,1,0,0,
2010,tt1017451,"The Runaways",Floria Sigismondi,,141329,1909,3.8,49,91,99,32,11,2,26,3.6,3,0,0,0,0,0,189,3.8,3,1,4,7,0,1,20,3.4,0,0,1,0,0,0,10,3.2,0,0,1,0,0,0,
2010,tt1385633,"The Runway",Ian Power,,200042,2,3.0,0,0,0,0,0,0,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1979319,"Rurôni Kenshin: Meiji kenkaku roman tan",Keishi Ohtomo,,215349,55,3.8,0,7,2,1,0,0,10,3.1,0,0,0,0,0,0,29,3.6,5,4,1,0,0,0,6,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt1979320,"Rush",Ron Howard,,195370,6162,4.4,238,443,110,22,4,3,122,4.1,5,7,2,0,0,0,604,4.6,48,31,0,0,0,0,280,4.3,9,18,4,0,0,0,65,3.9,1,11,2,0,0,0,
