2012,tt1764183,"Arbitrage",Nicholas Jarecki,,187453,855,2.8,1,26,74,40,11,6,67,3.1,0,0,10,2,0,0,121,3.6,1,4,9,1,0,0,41,3.0,0,1,1,1,0,0,20,3.0,0,1,3,0,0,0,,60,68,23,21,24,
2012,tt1024648,"Argo",Ben Affleck,,190267,12920,4.2,293,818,322,103,37,38,511,4.1,18,25,10,5,0,0,809,4.4,25,46,14,5,0,2,372,4.1,1,10,5,3,0,0,121,3.9,3,6,4,2,1,1,,127,66,32,20,36,
2011,tt1334512,"Arthur",Jason Winer,,141341,293,2.7,3,5,8,12,6,5,8,2.9,0,0,0,0,1,0,52,3.5,1,2,2,1,1,0,43,3.0,0,0,1,0,0,0,13,2.9,0,0,1,0,0,0,,30,13,21,14,17,
2011,tt1284575,"Bad Teacher",Jake Kasdan,,138880,5755,2.2,32,73,200,246,166,133,97,2.2,1,2,3,9,14,1,349,3.2,4,2,12,5,8,7,352,2.5,1,1,7,8,6,2,68,2.3,0,1,5,5,4,3,,123,63,66,52,49,
2012,tt2082197,"Barfi!",Anurag Basu,,210935,16,3.6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,170,4.6,11,6,0,0,0,0,,6255,2077,770,532,1012,
2012,tt1440129,"Battleship",Peter Berg,,146628,8022,2.9,137,297,373,301,205,159,212,3.2,7,15,12,3,6,8,619,3.8,13,13,8,7,4,2,437,3.4,7,12,7,8,5,3,136,3.6,5,0,4,4,4,1,,280,160,132,59,52,
2012,tt2125435,"Beasts of the Southern Wild",Benh Zeitlin,,200333,2400,3.8,71,143,93,50,38,21,53,3.3,0,4,2,0,0,0,248,4.0,12,9,5,6,5,2,84,3.7,2,5,0,0,0,1,38,3.8,2,5,2,0,0,0,,0,0,0,0,0,
2013,tt2209418,"Before Midnight",Richard Linklater,,208883,608,3.5,8,17,31,17,6,3,48,3.3,1,3,1,1,1,0,159,4.2,19,8,4,4,3,1,53,3.8,4,2,1,1,0,0,20,3.2,0,2,1,0,1,0,,0,0,0,0,0,
2012,tt1440732,"Bel Ami",Declan Donnellan,,146734,1233,2.7,12,19,53,55,39,14,24,3.4,0,0,0,2,0,0,100,3.2,0,1,1,1,2,0,36,3.0,0,0,0,0,0,0,16,3.3,0,0,1,2,1,0,,42,16,27,36,25,
2011,tt1242599,"Bellflower",Evan Glodell,,191456,1002,3.8,17,46,51,19,11,6,4,3.0,0,0,0,0,0,0,4,3.0,0,0,0,0,0,0,10,3.3,0,2,0,0,0,0,6,3.1,0,0,0,0,0,0,,0,0,0,0,0,
2012,tt1891755,"Billa 2",Chakri Toleti,,207040,49,3.6,7,2,1,1,2,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,,2455,774,539,304,597,
2010,tt0947798,"Black Swan",Darren Aronofsky,,125828,27445,4.2,1350,1320,485,303,193,179,587,4.0,29,36,15,7,14,0,1915,4.5,108,51,18,13,0,5,1042,4.1,18,30,11,4,5,0,943,4.1,30,97,16,54,10,8,,119,95,52,18,34,
2011,tt1297919,"Blitz",Elliott Lester,,169688,2165,2.7,18,60,138,120,50,33,58,2.9,2,1,4,3,6,0,100,4.0,2,1,2,2,1,1,92,3.4,0,2,2,1,1,0,47,3.5,1,0,1,2,2,1,,55,34,43,15,27,
2013,tt2334873,"Blue Jasmine",Woody Allen,,206191,5595,3.7,57,283,252,125,38,28,158,3.6,3,11,5,0,1,0,460,4.1,20,27,14,3,0,1,114,3.8,2,6,1,1,1,1,44,3.6,1,6,3,1,0,0,,0,0,0,0,0,
