tt0993846,13080,30813,20160,2764,607
tt1454468,46494,73744,40874,6472,2895
tt0770828,9936,30267,41030,8832,2024
tt1300854,26216,67800,50021,5575,1055
tt1170358,38227,51780,22820,2548,579
tt0816711,9728,36026,32069,3957,660
tt1670345,27471,72940,49890,6473,1263
tt1408101,29818,52483,24756,2421,550
tt2294629,61653,69640,25875,2076,479
tt2024544,7904,23478,14087,930,139
tt1483013,5993,21495,30614,5927,1107
tt1663662,45851,82532,52920,7642,2102
tt1981115,15326,39185,28997,3048,522
tt1343092,35151,80220,51508,6090,1044
tt1800241,2240,9489,15369,3422,622
tt1392214,6106,15977,5877,456,114
tt1535109,8673,16751,5542,282,63
tt1535108,1729,8687,24635,7088,1080
tt1430132,2307,11108,33141,11897,2246
tt1245492,3133,9479,10550,2758,884
tt1723121,3411,11272,9022,915,99
tt0790636,22751,28946,5905,174,58
tt1979320,15297,11379,2177,145,58
tt1457767,5891,18616,13196,1335,236
tt1690953,42599,64257,33132,3012,430
tt0359950,12137,16340,6920,688,109
tt1453405,34910,63438,29700,2084,261
tt1951261,1908,7096,16130,4085,596
tt2302755,1613,7965,18417,4604,1008
tt1650554,2036,7369,16579,5332,1034
tt2229499,1137,5329,13310,3458,426
tt1588173,6819,19926,18282,2853,484
tt1091191,3393,7152,3182,267,70
tt1210819,5492,16915,17926,3032,615
tt1731141,6980,21414,24076,5324,1301
tt1321870,551,2836,5342,1153,140
tt2194499,23524,22323,7969,655,164
tt1211956,11698,36996,22446,1755,219
tt1213663,3847,9313,7829,1237,247
tt1606378,1754,7947,20634,5970,1007
tt2234155,602,2129,3754,865,166
tt1980209,544,2359,5861,1644,267
tt2334879,8925,29688,20515,2293,558
tt1272878,258,1727,3936,635,60
tt2053463,2521,13190,8100,587,49
tt1706620,
tt1583421,3072,13434,27441,6821,1302
tt0481499,26940,54497,17480,2468,1337
tt2334873,8932,26505,12233,728,146
tt2404463,670,2413,4474,893,146
tt2184339,518,1912,6254,4170,1538
tt1288558,18339,36677,25806,8224,5672
tt1411250,472,1887,5039,1708,330
tt1229340,85,226,508,233,57
tt1549920,1909,8248,10862,1454,227
tt1335975,255,966,3833,2117,556
tt2140373,1447,3865,2386,207,48
tt1351685,815,4405,12773,3480,551
tt1939659,607,2331,8915,3907,640
tt1204975,980,2956,2978,373,29
tt1538403,461,1432,5122,3835,1299
tt2191701,358,1014,2187,788,181
tt2024432,199,1081,2967,810,172
tt1924429,1166,4871,5752,998,181
tt1517260,536,1651,3925,2072,588
tt0816442,2304,4618,2840,303,40
tt0790736,581,3288,11650,3970,561
tt1911644,1121,5092,4189,424,54
tt1904996,850,3747,10166,2290,295
tt1821549,6168,7226,1587,121,30
tt2209418,29711,19028,5898,723,278
tt1714206,330,1169,1794,301,33
tt0848537,2319,6528,5852,599,77
tt2404311,3798,13997,15805,2206,362
tt1682180,3980,11184,8413,1335,302
tt1327773,1897,6057,5551,506,56
tt1854564,180,831,3842,2180,457
tt2042568,6038,11634,5129,443,70
tt1602613,319,993,2183,1568,743
tt2193215,141,395,1326,1796,733
tt3063516,287,748,1165,501,197
tt1333125,808,1665,2819,1240,545
