Name,Year,imdb ID,Allo ID,imdb 10,imdb 9,imdb 8,imdb 7,imdb 6,imdb 5,imdb 4,imdb 3,imdb 2,imdb 1,imdb numVotes,,douban 5,douban 4,douban 3,douban 2,douban 1,frNumVot,frRat,fr 5,fr 4,fr 3,fr 2,fr 1,fr 0,esNumVot,esRat,es 5,es 4,es 3,es 2,es 1,es 0,ptNumVot,ptRat,pt 5,pt 4,pt 3,pt 2,pt 1,pt 0,deNumVot,deRat,de 5,de 4,de 3,de 2,de 1,de 0,trNumVot,trRat,tr 5,tr 4,tr 3,tr 2,tr 1,tr 0
The Wolf of Wall Street,2013,tt0993846,127524,13051,15830,15793,8629,3632,1609,849,592,505,1205,61695,8.05,13080,30813,20160,2764,607,17678,4.1,539,826,326,241,140,188,455,3.8,12,19,12,9,0,11,1686,4.5,77,47,20,14,12,4,716,4.4,29,27,11,7,7,3,168,3.9,16,16,8,1,4,3
Gravity,2013,tt1454468,178496,12136,14522,15449,9897,4774,2252,1214,770,586,1357,62957,7.86,46494,73744,40874,6472,2895,23008,4,922,1252,721,506,261,238,526,3.9,8,21,11,9,5,2,2210,4.3,129,80,50,33,19,14,769,4.2,44,31,16,16,4,6,192,4.1,14,22,14,5,1,2
Man of Steel,2013,tt0770828,123348,10741,10442,15761,13948,8458,4377,2026,1148,845,1491,69237,7.40,9936,30267,41030,8832,2024,19630,3.7,613,987,658,591,263,204,579,3.7,24,26,16,12,9,7,2255,4.4,117,88,47,28,15,11,781,3.9,15,67,47,23,9,2,176,4,5,18,7,4,0,0
Iron Man 3,2013,tt1300854,139589,6953,8359,16645,15898,8029,3314,1458,851,481,1012,63000,7.37,26216,67800,50021,5575,1055,19978,4,419,830,678,423,167,108,515,4,6,18,15,3,5,3,3530,4.5,104,68,70,39,19,13,943,4.2,5,23,22,9,3,2,284,4.3,8,16,10,2,0,1
The Hobbit: The Desolation of Smaug,2013,tt1170358,186918,8392,9284,12440,7823,3468,1433,656,395,238,630,44759,7.92,38227,51780,22820,2548,579,17618,4.3,425,778,424,228,83,50,422,4.2,7,12,17,2,1,1,2463,4.6,93,73,21,14,6,2,893,4.3,16,33,22,13,10,3,321,4.5,13,20,7,3,1,0
World War Z,2013,tt0816711,140631,3547,4914,12204,15320,8073,3347,1426,748,495,864,50938,7.06,9728,36026,32069,3957,660,16756,3.6,192,759,773,418,185,116,542,3.9,12,24,21,7,7,3,1988,4.4,64,88,59,24,13,7,573,3.8,3,22,17,12,4,0,244,4.1,4,16,14,9,1,1
Now You See Me,2013,tt1670345,182605,4511,5092,9965,10450,5807,2744,1334,645,414,610,41572,7.24,27471,72940,49890,6473,1263,18402,4,407,905,579,339,150,90,345,3.8,6,9,13,8,3,2,1697,4.5,61,34,25,7,5,2,416,4,4,12,11,9,3,0,135,4.2,1,7,8,2,0,0
Star Trek Into Darkness,2013,tt1408101,145475,11154,14486,18203,10295,3951,1526,692,397,312,659,61675,8.05,29818,52483,24756,2421,550,10338,4.1,211,591,372,159,61,38,256,4.2,6,19,7,1,0,0,841,4.5,50,40,13,5,1,1,678,4.2,7,26,16,8,2,3,93,4,4,7,0,1,3,0
Frozen,2013,tt2294629,203691,10788,8801,11893,8678,3981,1704,771,476,327,770,48189,7.91,61653,69640,25875,2076,479,9957,4.3,379,439,254,123,43,22,233,4.1,11,7,6,3,0,0,2989,4.7,179,72,33,15,2,1,293,4.3,5,10,3,1,2,0,105,4.2,11,11,6,1,0,0
12 Years a Slave,2013,tt2024544,196885,9145,10650,10515,4892,1775,715,353,241,212,732,39230,8.24,7904,23478,14087,930,139,11416,4.3,363,621,262,120,54,38,283,4,1,13,3,3,0,1,1244,4.6,63,42,15,4,1,2,320,4.2,8,22,6,4,1,2,129,4.2,8,12,7,1,0,0
Oblivion,2013,tt1483013,27405,2683,3906,9449,12186,6735,2688,1146,569,346,507,40215,7.07,5993,21495,30614,5927,1107,13770,3.6,198,710,629,340,121,81,435,3.4,6,17,15,9,2,1,946,4,30,38,31,18,6,7,496,3.6,3,16,19,10,6,2,184,3.9,2,8,8,6,0,0
Pacific Rim,2013,tt1663662,191289,5482,5913,11008,10593,6195,3003,1490,835,542,855,45916,7.25,45851,82532,52920,7642,2102,11444,3.7,262,694,440,287,134,86,191,3.4,5,10,9,5,0,2,1362,4.5,72,59,27,13,6,4,440,3.7,6,18,20,7,8,1,100,4,4,7,6,4,1,0
Thor: The Dark World,2013,tt1981115,193108,4674,5245,11391,11944,5700,2222,877,392,189,452,43086,7.42,15326,39185,28997,3048,522,10976,3.8,145,372,370,161,81,40,264,3.9,4,6,8,5,0,0,3441,4.6,129,75,40,27,4,1,542,4.2,10,11,15,2,0,0,186,4.3,2,3,11,3,0,0
The Great Gatsby,2013,tt1343092,141808,4763,4913,9280,9909,5543,2670,1260,683,447,837,40305,7.22,35151,80220,51508,6090,1044,12387,4,323,580,377,233,109,61,180,3.8,2,6,10,3,2,1,685,4.4,22,31,19,8,0,0,379,4,5,11,3,4,0,1,102,3.9,3,7,8,6,0,0
American Hustle,2013,tt1800241,205330,4362,7661,13721,11397,5156,2127,978,540,329,633,46904,7.47,2240,9489,15369,3422,622,6427,3.4,28,197,278,173,60,29,257,3.1,1,9,16,8,1,5,968,4.1,15,31,27,22,9,2,369,3.8,5,14,13,7,5,5,92,3.6,2,5,5,6,0,1
Prisoners,2013,tt1392214,180887,5064,8746,11918,6063,1925,671,266,183,107,300,35243,8.06,6106,15977,5877,456,114,13711,4.4,390,935,297,92,28,17,181,4.1,4,9,4,0,0,0,836,4.4,23,50,15,8,3,2,394,4.4,6,19,7,2,0,0,73,3.8,1,14,8,3,1,0
Captain Phillips,2013,tt1535109,191696,4242,7465,13036,7353,2267,700,272,147,117,303,35902,7.93,8673,16751,5542,282,63,5364,4.3,155,386,147,45,9,4,250,4.1,7,8,6,2,0,0,902,4.4,48,49,17,2,1,0,268,4.1,5,23,5,1,0,0,82,3.8,1,13,6,2,0,0
Elysium,2013,tt1535108,182991,1804,2513,6656,10827,8070,3490,1457,775,461,734,36787,6.67,1729,8687,24635,7088,1080,11065,3.4,80,401,509,380,124,69,270,3.2,3,10,17,6,2,1,1347,4.2,31,64,53,21,5,5,439,3.6,3,13,11,10,2,2,88,3.7,0,6,10,1,0,0
The Wolverine,2013,tt1430132,146326,2633,2915,7544,10786,6522,2748,1067,507,239,422,35383,7.01,2307,11108,33141,11897,2246,10868,3.4,69,312,433,346,156,79,225,3.3,1,4,9,6,1,2,1936,4.3,30,68,68,32,9,4,405,3.6,2,10,9,8,1,0,145,4,2,8,6,6,0,0
This Is the End,2013,tt1245492,137289,5943,6256,10725,10406,5960,2976,1499,1008,732,1473,46978,7.17,3133,9479,10550,2758,884,3031,3.2,15,76,125,65,32,35,46,2.6,0,2,3,1,0,0,566,3.6,15,11,13,11,7,15,293,3.5,2,11,9,2,4,1,48,2.7,0,3,3,4,0,3
We're the Millers,2013,tt1723121,193459,3432,3727,8498,10748,5657,2242,916,451,489,465,36625,7.17,3411,11272,9022,915,99,4648,3.7,67,192,187,66,21,14,103,3.4,2,3,6,1,0,0,708,4.4,19,22,22,2,1,1,310,3.9,1,10,12,2,0,0,39,3.5,0,1,6,3,0,0
