tt1454468,169444,161563,40982,10640,11428
tt0107290,149666,196141,36629,7089,4332
tt0770828,124564,170538,68765,16897,11788
tt0993846,204729,144083,24336,5794,6953
tt1300854,105981,190010,62832,11355,7949
tt1951264,126450,139095,30842,5860,6168
tt0816711,56377,168515,65003,11399,6470
tt1670345,85941,152074,51504,10057,5181
tt1170358,136520,123841,25358,5013,4423
tt1408101,114241,143684,27677,5005,4122
tt2017561,41701,106270,92818,20716,7533
tt2765340,30280,84198,108900,30545,11421
tt1483013,44717,140390,59796,10139,4680
tt1663662,64916,119445,53491,14022,7790
tt1343092,71221,123450,41983,8247,4998
tt0481499,131225,84685,22311,1439,480
tt1981115,57005,126598,43466,6651,3563
tt2294629,104121,96834,24914,4936,3996
tt1800241,48232,126247,36896,6668,4223
tt2024544,101221,98785,15283,2879,3322
tt1535109,77756,121535,14811,1742,1525
tt1430132,34570,105450,62400,10654,4348
tt1392214,85890,113218,14098,1952,1735
tt1535108,25229,105660,68355,11860,4744
tt1245492,45158,92243,49011,14981,12627
tt1905041,67324,93956,37497,8096,5752
tt0388795,85936,86777,34669,2521,420
tt1723121,43450,112886,41994,6445,3118
tt3043630,10882,20209,60239,45859,57130
tt1663662,45851,82532,52920,7642,2102
tt1462900,38375,79161,53948,10567,3522
tt1690953,59894,95277,24510,2949,1843
tt1457767,57493,95453,24324,4423,2764
tt0790636,63401,102691,10180,1250,1072
tt1343092,35151,80220,51508,6090,1044
tt0092099,32115,81668,44719,9151,5007
tt1798709,77810,71141,14878,3591,3420
tt1979320,82955,78176,7510,1024,1024
tt1454468,46494,73744,40874,6472,2895
tt2294629,61653,69640,25875,2076,479
tt1670345,27471,72940,49890,6473,1263
tt1300854,26216,67800,50021,5575,1055
tt1453405,36382,88398,22100,2255,1203
tt1623205,19226,59439,50927,12181,5137
tt2302755,23757,63547,41831,10203,6267
tt0359950,38624,76530,22112,3877,2297
tt1690953,42599,64257,33132,3012,430
tt1588173,30461,70228,30743,5923,3667
tt1951261,14020,41919,60985,16683,6729
tt1321870,20557,73277,37198,6573,2517
tt1210819,21918,58762,39668,9413,4841
tt1453405,34910,63438,29700,2084,261
tt1650554,21578,62655,35487,6889,3380
tt1606378,11561,27279,55986,23901,11171
tt2229499,15273,62374,38759,7701,4235
tt1731141,22788,56665,31440,7068,4021
tt1815862,10306,21946,45590,24492,18672
tt1428538,16430,42765,44457,11839,5195
tt0107290,26920,58597,28196,1973,464
tt1170358,38227,51780,22820,2548,579
tt2053463,14883,71300,24343,3230,1500
tt1211956,18254,58319,32145,4477,1492
tt1490017,49879,49651,10135,2050,2164
tt1213663,20415,56820,27446,5784,2949
tt1583421,14995,32019,45323,13980,6426
tt2194499,42747,55762,10883,1683,1122
tt1980209,14467,48335,35551,8747,4934
tt2334879,16908,45495,35261,8454,5117
tt1091191,39833,55478,11872,1886,1886
tt2234155,13401,46847,38873,8085,3433
tt1408101,29818,52483,24756,2421,550
tt1905041,21221,50865,33035,3610,656
tt1272878,13230,58835,30547,3549,1506
tt0481499,26940,54497,17480,2468,1337
tt3086582,5944,12376,34790,21244,23096
tt2404463,17923,42328,26694,5339,3051
tt2334873,17490,57290,15977,2458,1418
tt1288558,18339,36677,25806,8224,5672
tt2023587,11557,35231,34206,8575,3542
tt0770828,9936,30267,41030,8832,2024
tt1549920,10997,38674,33083,6323,2474
tt1981115,15326,39185,28997,3048,522
tt1411250,12197,33822,29756,7266,3287
tt1821694,11406,41739,25855,3887,1521
tt1951264,13066,36535,27880,4411,1248
tt0816711,9728,36026,32069,3957,660
tt1351685,8888,33248,32013,5925,2222
tt1727388,19170,47681,11697,1625,1056
tt2184339,5867,18931,33482,13299,6728
tt1229340,12172,31818,22419,6240,4391
tt1335975,10152,28838,25233,6400,2943
tt1538403,18521,20211,21461,8379,4998
tt1211956,11698,36996,22446,1755,219
tt2191701,11454,17327,23271,10657,9714
tt1204975,10177,35729,21870,3248,1083
tt2024432,7300,19135,30616,9497,4394
tt1939659,9383,21707,27378,7842,3711
tt1924429,10938,38006,16130,2838,1315
tt2140373,19472,38537,8074,1018,814
tt0993846,13080,30813,20160,2764,607
tt1517260,13348,19719,20256,8116,5634
tt1911644,10866,32664,18798,3000,1333
tt1483013,5993,21495,30614,5927,1107
tt1904996,7149,23895,27180,4573,1546
tt1682180,10934,31387,16272,3537,2187
tt1798709,25982,26880,9944,1091,257
tt0790736,4971,15614,29380,9942,3824
tt0848537,10559,29429,18744,2624,1125
tt2334879,8925,29688,20515,2293,558
tt1430132,2307,11108,33141,11897,2246
tt1333125,6480,9240,14461,12541,17341
tt2404311,6032,25145,22696,4241,1553
tt1731141,6980,21414,24076,5324,1301
tt1854564,9834,16723,22671,6536,3062
tt1602613,7356,16712,17654,9592,7532
tt0790636,22751,28946,5905,174,58
tt2226417,11620,25254,15302,3682,1726
tt2209418,23789,24420,5732,1548,1834
tt3063516,10547,25107,15534,3669,2579
tt1327773,13128,29241,10029,1690,2254
tt2209418,29711,19028,5898,723,278
tt2194499,23524,22323,7969,655,164
tt1821549,15848,31212,5265,806,698
