Name,Year,imdb ID,Allo ID,imdb 10,imdb 9,imdb 8,imdb 7,imdb 6,imdb 5,imdb 4,imdb 3,imdb 2,imdb 1,douban 5,douban 4,douban 3,douban 2,douban 1,frNumVot,frRat,fr 5,fr 4,fr 3,fr 2,fr 1,fr 0,esNumVot,esRat,es 5,es 4,es 3,es 2,es 1,es 0,ptNumVot,ptRat,pt 5,pt 4,pt 3,pt 2,pt 1,pt 0,deNumVot,deRat,de 5,de 4,de 3,de 2,de 1,de 0,trNumVot,trRat,tr 5,tr 4,tr 3,tr 2,tr 1,tr 0
The Returned,2013,tt2093270,190529,60,40,99,250,257,163,85,26,19,36,,,,,,20,3.2,0,1,2,0,0,0,24,2.9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,2.9,0,0,0,0,0,0,7,2.7,0,0,1,0,0,2
Frankenstein's Army,2013,tt1925435,215725,68,29,104,201,239,196,121,70,41,72,,,,,,60,2.1,0,1,5,4,6,2,3,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,9,2.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
One Chance,2013,tt1196956,212649,46,40,51,103,56,31,15,10,4,24,,,,,,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Fairy & the Magical Cactus and 2012,2013,tt2332579,217256,71,58,185,296,321,224,115,54,49,58,,,,,,19,2.9,0,0,0,1,0,1,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vi är bäst!,2013,tt2364975,215656,71,150,274,212,79,28,16,5,12,11,,,,,,49,3.4,2,4,5,1,0,1,3,3.1,0,0,0,0,0,0,7,3.1,0,0,0,0,0,1,3,3.1,0,0,0,0,0,0,3,3.1,0,1,0,0,0,0
The Truth About Emanuel,2013,tt1838520,190352,60,37,87,164,164,103,52,37,16,27,,,,,,84,3.6,1,4,3,1,0,0,4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Invisible Woman,2013,tt1700845,182208,42,52,139,253,236,121,58,24,14,39,,,,,,44,3.1,0,0,1,1,2,0,7,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,1,0,0,0,6,3.1,0,0,0,1,0,0
Nurse 3D,2013,tt1913166,196016,57,21,55,107,151,164,143,103,87,88,316,533,1155,975,699,0,0,0,0,0,0,0,0,4,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fukrey,2013,tt2806788,221498,18,14,31,57,32,19,6,6,5,13,920,1988,937,177,185,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Field in England,2013,tt2375574,217484,56,60,119,160,128,81,50,25,22,35,,,,,,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,1,0,0,0,3,3,0,0,0,0,0,0
Pawn,2013,tt1551630,200852,46,16,59,139,223,152,68,36,15,32,,,,,,210,2.7,1,8,11,9,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feuchtgebiete,2013,tt2524674,215110,51,40,100,127,89,53,38,15,14,84,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2.3,2,3,1,2,3,4,0,0,0,0,0,0,0,0
Tom à la ferme,2013,tt2427892,208989,23,27,71,59,28,20,12,3,5,17,,,,,,1608,3.6,16,80,67,32,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pretty One,2013,tt2140577,205771,68,37,100,164,127,60,19,10,5,23,223,526,454,93,74,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0
Yip Man: Jung gik yat jin,2013,tt2495118,222724,32,23,49,124,162,83,33,28,8,14,,,,,,89,2.8,0,0,4,4,4,1,0,0,0,0,0,0,0,0,6,3.1,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Educazione siberiana,2013,tt1697064,195706,22,13,44,71,63,37,22,12,7,12,,,,,,26,2.9,0,2,0,2,1,1,3,3,0,0,0,0,0,0,6,3.2,0,0,0,0,0,0,5,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gloria,2013,tt2425486,216817,30,57,144,168,122,47,22,20,12,18,,,,,,451,3,8,18,28,19,8,4,12,3.1,0,0,3,0,0,0,25,3.6,0,0,0,0,0,0,18,3,0,2,0,0,0,1,12,3.2,0,1,0,1,0,0
Ugly,2013,tt2882328,220946,32,32,40,16,11,5,1,3,3,11,,,,,,180,3.4,2,12,9,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0
