Name,Year,imdb ID,Allo ID,imdb 10,imdb 9,imdb 8,imdb 7,imdb 6,imdb 5,imdb 4,imdb 3,imdb 2,imdb 1,douban 5,douban 4,douban 3,douban 2,douban 1,frNumVot,frRat,fr 5,fr 4,fr 3,fr 2,fr 1,fr 0,esNumVot,esRat,es 5,es 4,es 3,es 2,es 1,es 0,ptNumVot,ptRat,pt 5,pt 4,pt 3,pt 2,pt 1,pt 0,deNumVot,deRat,de 5,de 4,de 3,de 2,de 1,de 0,trNumVot,trRat,tr 5,tr 4,tr 3,tr 2,tr 1,tr 0
R... Rajkumar,2013,tt2369154,224843,7,1,7,13,14,12,12,7,4,16,,,,,,5,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Power of Few,2013,tt0817545,217472,95,92,72,96,89,90,61,41,21,45,,,,,,6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Straight A's,2013,tt2024506,210415,51,27,71,126,194,137,64,43,16,28,,,,,,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Passenger,2013,tt1858481,222254,19,23,45,83,80,74,24,12,9,14,,,,,,122,1.8,0,2,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Adventurer: The Curse of the Midas Box,2013,tt1376213,223932,38,21,52,79,113,81,56,27,22,15,,,,,,94,2.4,0,3,4,5,2,1,6,3.1,0,0,0,1,0,0,5,3.2,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cavemen,2013,tt2378884,225686,33,9,27,39,75,72,43,21,11,36,,,,,,6,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hateship Loveship,2013,tt2463512,214508,68,41,83,169,157,99,49,22,14,20,7,15,50,16,1,0,0,0,0,0,0,0,0,5,2.9,0,0,1,0,0,0,10,3.1,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My Little Pony: Equestria Girls,2013,tt2908228,227060,120,63,77,116,77,42,18,19,27,216,18,18,5,4,0,8,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer Chess,2013,tt2007360,218221,54,71,173,206,165,121,55,31,26,34,,,,,,49,2.6,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stranded,2013,tt2268573,218528,24,4,7,17,48,75,117,136,75,118,,,,,,89,1.5,0,1,1,4,5,15,0,0,0,0,0,0,0,0,48,2.2,0,0,1,0,9,4,11,2.4,0,0,0,0,1,4,0,0,0,0,0,0,0,0
Crush,2013,tt2093977,216924,43,13,35,70,77,66,39,16,18,19,,,,,,32,2.6,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rushlights,2013,tt1536437,210382,618,291,114,65,46,34,26,19,11,18,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singam 2,2013,tt2309600,222457,2,1,7,5,9,2,4,2,2,9,,,,,,11,3.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heli,2013,tt2852376,220819,12,18,38,63,34,16,3,2,3,11,,,,,,94,3.1,4,4,9,4,2,2,12,3,0,0,1,0,0,0,8,2.9,0,0,1,0,0,0,6,3.1,0,1,0,0,0,0,4,3,0,0,0,0,0,0
Dark Touch,2013,tt2328549,203595,18,9,29,53,95,115,93,48,43,47,,,,,,383,2.4,6,12,13,27,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,5,2.8,0,0,1,0,0,0
InAPPropriate Comedy,2013,tt1754811,201114,62,8,12,29,37,45,50,70,96,408,3,3,13,7,6,6,3.1,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Street 3: Never Back Down,2013,tt2628316,227588,13,4,9,11,15,19,13,8,5,8,,,,,,72,2.3,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 mois ferme,2013,tt2853614,213856,0,3,12,23,17,16,3,4,2,5,,,,,,8092,3.6,159,570,335,118,68,30,15,2.8,0,0,2,0,0,0,18,3.3,1,0,1,1,0,0,5,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0
As I Lay Dying,2013,tt1807944,189856,69,38,80,90,116,105,56,32,26,54,,,,,,136,3.1,0,3,6,7,2,1,5,3,0,0,0,1,0,0,7,3.1,0,0,0,0,0,0,11,3.1,0,0,0,0,0,0,6,2.9,0,0,0,1,0,0
The Dirties,2013,tt2334896,222829,83,83,167,209,143,55,31,17,25,29,,,,,,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0
La gran familia española,2013,tt2252680,209799,3,4,10,12,15,7,3,3,1,3,,,,,,2,3,0,0,0,0,0,0,136,3.3,1,6,6,2,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullett Raja,2013,tt2551378,224736,6,2,7,11,19,13,17,9,12,15,,,,,,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tres bodas de más,2013,tt2418440,214527,3,5,8,10,18,4,3,1,1,4,,,,,,0,0,0,0,0,0,0,0,127,3.4,0,7,4,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottage Country,2013,tt2072933,197896,27,17,35,97,146,122,54,30,11,13,,,,,,58,2.6,0,2,4,6,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Snabba cash - Livet deluxe,2013,tt2427502,222293,7,2,9,18,21,9,5,3,3,6,,,,,,3,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.O.G.,2013,tt1650393,216312,51,44,85,139,157,135,95,46,39,45,,,,,,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jigoku de naze warui,2013,tt2409302,221146,52,68,123,109,48,30,9,4,4,12,,,,,,42,3.8,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sole a catinelle,2013,tt3066270,226026,3,2,2,3,8,3,0,0,2,3,,,,,,7,3.3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Touchy Feely,2013,tt2364949,216326,37,21,33,89,132,138,87,35,36,33,4,28,88,31,11,11,3.2,0,2,1,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mystery Road,2013,tt2236054,222996,23,16,60,91,88,37,22,6,5,11,,,,,,17,3.2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pioneer,2013,tt2369205,203506,11,4,13,27,31,23,8,4,3,15,,,,,,36,2.9,0,3,1,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.1,0,0,0,1,0,0,6,3,0,0,1,0,0,0
Some Girl(s),2013,tt2201221,211958,35,10,28,47,54,108,90,47,43,49,,,,,,11,2.8,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle of the Damned,2013,tt2210463,215593,19,10,16,35,53,72,69,41,17,31,,,,,,35,2.3,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Skinwalker Ranch,2013,tt2881698,224486,27,15,26,49,69,86,36,32,26,30,,,,,,26,2.1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miss Violence,2013,tt3078242,222985,4,8,10,22,7,7,7,5,2,4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3.5,0,2,0,0,0,0,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0
Vikingdom,2013,tt1785669,223788,22,5,5,10,18,25,27,45,40,68,,,,,,54,1.8,0,1,5,4,4,11,0,0,0,0,0,0,0,0,3,2.9,0,0,0,0,0,0,8,2.6,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Penthouse North,2013,tt2055709,199491,21,6,35,51,83,62,36,17,12,18,,,,,,75,2.6,0,2,2,6,3,0,14,2.9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,2.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Schlussmacher,2013,tt1978524,200981,8,8,12,22,28,16,3,7,2,8,,,,,,4,3.1,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,6,3.3,0,0,0,0,0,0,146,3.4,1,0,3,2,1,4,0,0,0,0,0,0,0,0
The Face of Love,2013,tt1839642,190309,35,22,66,85,111,78,31,14,6,12,1,10,10,1,0,155,3.2,2,8,13,7,4,1,12,2.9,0,0,3,2,0,0,12,3.2,0,0,1,0,0,0,7,2.9,0,0,0,1,0,0,4,3,0,0,0,0,0,0
Still Life,2013,tt2395417,223511,15,18,25,15,14,4,1,1,2,6,,,,,,0,0,0,0,0,0,0,0,5,3.2,0,0,1,0,0,0,12,3.5,2,0,0,0,0,0,23,3.6,1,2,0,0,0,0,5,3.2,0,1,0,0,0,0
Vendetta,2013,tt2572632,224559,10,4,19,31,40,32,22,8,9,14,,,,,,21,3,0,0,0,1,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gamgi,2013,tt2351310,222213,19,10,34,52,43,19,7,4,6,4,,,,,,382,3.2,12,18,34,15,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plush,2013,tt2226519,203110,48,18,38,53,62,67,38,21,20,24,,,,,,0,0,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.4,0,3,1,0,0,0,5,3.2,0,0,0,0,0,0
Svecenikova djeca,2013,tt2395421,222806,5,5,13,15,6,7,4,2,2,6,,,,,,0,0,0,0,0,0,0,0,7,3.1,0,1,1,0,0,0,31,3.7,4,1,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilo Ilo,2013,tt2901736,220942,18,27,83,60,26,13,8,4,6,6,,,,,,395,3.7,3,22,29,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0
Paradies: Hoffnung,2013,tt2371834,214014,10,9,23,50,33,19,5,4,3,5,,,,,,42,3.4,1,4,4,2,1,0,6,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paradise,2013,tt1262990,195601,31,16,51,70,114,113,69,53,40,77,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordvest,2013,tt2650986,220107,7,4,15,24,18,8,2,3,1,4,,,,,,382,4,3,38,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trust Me,2013,tt2421416,218831,64,41,99,139,147,74,34,15,19,34,,,,,,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Séptimo,2013,tt2403961,208223,6,2,6,28,37,16,7,4,4,5,,,,,,6,2.9,0,0,1,0,0,0,71,2.4,0,1,7,1,2,1,45,3.5,0,2,2,2,0,0,5,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SAGA - Curse of the Shadow,2013,tt2250234,220375,38,14,23,32,52,40,37,17,17,22,,,,,,72,2.9,3,9,8,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beneath,2013,tt2991296,221332,20,9,31,95,162,110,82,31,13,16,,,,,,9,2.8,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,2.9,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Child of God,2013,tt1951095,197513,47,20,57,87,117,74,51,27,29,56,,,,,,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3.1,0,1,0,1,0,0,4,3,0,0,1,0,0,0
Wolf,2013,tt2504404,223022,8,14,17,25,11,5,4,1,1,10,,,,,,80,3.7,4,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer in February,2013,tt2184287,200864,27,10,21,46,59,62,30,19,12,19,,,,,,25,2.8,0,0,0,0,1,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0
Patrick,2013,tt2147459,221628,17,6,19,55,74,78,47,30,15,20,,,,,,64,2.3,0,2,4,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vivir es fácil con los ojos cerrados,2013,tt2896036,221170,9,15,21,19,9,4,2,0,1,1,,,,,,5,3.2,0,0,0,0,0,0,105,3.7,2,5,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0
Selam,2013,tt2737018,218530,26,3,5,1,1,2,1,1,2,9,,,,,,7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.2,1,0,0,0,0,0,262,4.1,23,2,2,0,1,6
Di Renjie: Shen du long wang,2013,tt2992146,221661,26,10,61,80,49,25,20,8,3,7,,,,,,544,3.4,8,34,29,14,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Benim Dünyam,2013,tt3159564,222761,14,6,8,7,0,3,2,0,2,4,,,,,,10,3.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.2,1,0,0,0,0,0,153,3.9,13,14,4,4,2,4
Raja Rani,2013,tt3203910,224017,2,6,4,12,8,4,1,0,1,6,,,,,,12,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monica Z,2013,tt2112206,219362,8,7,4,7,7,5,0,0,1,3,,,,,,54,3.8,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vive la France,2013,tt2293138,196958,7,0,3,10,13,13,6,3,4,6,,,,,,3532,2.3,54,124,161,146,98,145,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokowääh 2,2013,tt2194599,201758,3,2,5,6,10,9,6,2,6,7,,,,,,15,3.3,0,0,0,2,0,0,5,3.2,0,0,0,0,0,0,5,3.2,1,0,0,0,0,0,152,3.4,2,2,4,1,4,0,5,3.2,0,0,0,0,0,0
Amour & turbulences,2013,tt2298384,209664,11,7,9,16,20,12,9,3,2,4,,,,,,2419,3.3,36,113,143,53,28,25,11,3.2,0,0,1,0,0,0,7,3.1,0,0,0,0,0,0,8,2.9,0,0,1,1,0,0,8,3.2,0,0,0,0,0,0
La jaula de oro,2013,tt2042583,220802,16,23,20,19,1,4,2,1,2,2,,,,,,380,4.1,17,44,15,4,1,0,6,3.1,0,0,0,0,0,0,8,3.3,0,3,1,0,0,0,3,3.1,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0
Grace Unplugged,2013,tt2349460,222449,127,53,89,79,76,53,29,34,18,50,481,326,263,99,173,5,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Make Your Move,2013,tt1828959,197500,27,10,16,42,45,31,19,13,10,33,,,,,,15,3.3,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Rocket,2013,tt2178256,218987,34,27,68,72,32,9,8,2,7,8,,,,,,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0
Coldwater,2013,tt2198956,56902,33,24,31,61,41,21,8,5,7,17,,,,,,981,4,13,46,37,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Su ve Ates,2013,tt3142958,221573,2,2,3,6,1,3,0,2,5,6,,,,,,6,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.2,0,0,0,0,0,0,128,4,13,7,3,1,0,2
Combustión,2013,tt1899142,208136,5,0,3,7,8,15,9,2,3,9,,,,,,107,2.8,0,3,5,5,6,4,49,2.7,1,1,0,4,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another Me,2013,tt1816608,224278,14,5,7,16,26,43,23,13,9,21,,,,,,0,0,0,0,0,0,0,0,20,2.6,0,0,1,3,2,0,0,0,0,0,0,0,0,0,6,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Decoding Annie Parker,2013,tt1464191,197993,85,25,23,58,43,34,15,10,8,14,,,,,,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zero Charisma,2013,tt2294965,223765,46,30,80,114,100,56,29,14,10,17,,,,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Teacher,2013,tt2201548,208833,13,12,30,72,103,111,76,60,41,32,,,,,,14,2.6,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felony,2013,tt2402603,207695,14,8,34,65,118,48,17,10,4,14,,,,,,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Suspect,2013,tt3404158,227288,29,27,52,93,36,17,9,2,3,3,,,,,,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compulsion,2013,tt2381931,50740,32,4,26,35,52,62,49,46,26,43,,,,,,2,2.9,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Caníbal,2013,tt1718747,200213,6,7,18,29,26,13,8,5,5,6,,,,,,35,3.1,0,2,6,0,1,0,37,2.6,1,2,2,2,0,2,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Almost Human,2013,tt2325517,223024,37,14,28,44,75,97,69,42,29,44,,,,,,28,2.2,0,0,1,2,2,2,8,2.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2.8,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Geograf globus propil,2013,tt3155604,225319,9,8,20,8,9,4,1,1,1,3,,,,,,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Hunter,2013,tt2446502,223075,10,2,9,18,26,48,48,60,53,47,,,,,,137,1.7,0,1,5,7,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Çanakkale Yolun Sonu,2013,tt2667550,215744,17,1,1,5,4,2,1,2,2,4,,,,,,13,3.2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.2,1,0,0,0,0,0,126,4.2,8,6,7,1,2,0
Hawaii,2013,tt2801746,222658,48,35,43,36,11,11,5,1,5,7,,,,,,6,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0
Birdemic 2: The Resurrection,2013,tt1674047,221182,54,4,4,4,6,9,10,25,59,194,,,,,,4,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belle et Sébastien,2013,tt3146360,208626,8,2,6,15,13,3,2,3,2,9,,,,,,2059,4.1,95,174,89,45,13,8,0,0,0,0,0,0,0,0,4,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Common Man,2013,tt2104837,210348,9,0,8,16,23,28,27,18,16,29,,,,,,3,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,3,0,1,1,0,0,0,10,2.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Sunlight Jr.,2013,tt1517249,199067,39,13,29,84,107,83,41,17,18,30,,,,,,8,2.8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyjafjallajökull,2013,tt2207072,205956,3,2,0,3,9,9,4,5,2,5,,,,,,4802,2.8,63,154,247,172,88,69,3,2.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ghost Team One,2013,tt2272336,217469,58,14,18,33,34,46,29,17,19,36,,,,,,15,2.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2.9,0,0,0,0,0,0,2,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ass Backwards,2013,tt1509788,183022,40,8,18,46,75,82,70,50,42,58,,,,,,19,2.7,0,0,0,1,0,0,4,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Force of Execution,2013,tt2611626,224955,19,4,8,15,52,52,55,21,24,24,,,,,,36,2.2,0,0,3,5,0,1,3,2.9,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,6,2.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Interior. Leather Bar.,2013,tt2352488,209952,46,17,16,60,62,72,37,28,33,54,,,,,,57,2.4,0,2,2,1,3,4,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.1,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0
Ice Soldiers,2013,tt3104304,225375,3,5,10,16,34,38,41,20,10,21,,,,,,40,2.1,0,2,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verliefd op Ibiza,2013,tt2388805,221475,5,1,0,0,3,5,3,3,1,5,,,,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leijonasydän,2013,tt2343617,230435,3,7,14,16,5,2,0,0,1,5,,,,,,20,3.1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riddle,2013,tt1648208,204378,16,5,14,12,29,37,51,37,30,43,,,,,,85,1.9,0,2,2,5,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.7,0,0,0,0,0,1,2,3,0,0,0,0,0,0
Maryan,2013,tt2793930,221294,3,5,3,10,4,3,0,4,1,5,,,,,,9,3.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best Night Ever,2013,tt2499414,221505,38,16,28,34,38,38,35,36,34,73,,,,,,2,2.9,0,0,0,1,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Heatstroke,2013,tt3663040,229686,17,4,13,37,61,72,49,12,13,27,,,,,,34,2.4,0,0,1,3,1,0,4,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy P.,2013,tt2210834,208939,12,13,33,28,57,33,19,11,6,14,,,,,,1152,3.5,8,59,65,33,11,5,8,3,0,0,1,0,0,0,7,3.2,0,0,1,0,0,0,6,3.1,0,0,0,0,0,0,6,3.1,0,0,1,0,0,0
Not Another Happy Ending,2013,tt1808339,196433,26,16,41,55,55,31,13,9,4,8,,,,,,8,3.1,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0
One Small Hitch,2013,tt1937269,222212,28,15,12,29,25,13,3,4,2,7,,,,,,37,3.4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.9,0,0,0,0,0,0,13,3.5,0,0,0,0,0,0
Sakasama no Patema,2013,tt2981768,223761,18,19,47,50,20,17,1,4,1,10,,,,,,285,4,4,14,10,7,0,0,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
